Filename|question|ground_truths
1cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|A partir de quando a gestante deve procurar o serviço de saúde para suplementação de ferro?|"""Procurar o serviço de saúde do seu município, a partir da 20ª semana de gestação e até o 3º mês pós-parto, para receber a suplementação de ferro preventiva."""
1cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Quais riscos estão associados ao excesso de peso materno?|"""O excesso de peso materno é fator de risco para diabetes gestacional, aumento da pressão arterial e outros problemas circulatórios."""
1cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Quais são os parâmetros para considerar a hipertensão arterial na gestação?|"""A observação de níveis tensionais absolutos iguais ou maiores do que 140mmHg de pressão sistólica e iguais ou maiores do que 90mmHg de pressão diastólica..."""
1cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Quais as técnicas recomendadas para a palpação do abdome materno?|"""Consiste em um método palpatório do abdome materno em 4 passos (grau de recomendação B)."""
1cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Quais são as recomendações para a ausculta dos batimentos cardiofetais?|"""Constatar a cada consulta a presença, o ritmo, a frequência e a normalidade dos batimentos cardíacos fetais (BCF)."""
1cadernos_de_atencao_basica_no_32_atencao_ao_pre_natal_de_baixo_riscopdf.txt|Qual é a conduta recomendada para gestantes com hemoglobina < 8g/dl?|"""Será necessário referir a gestante ao pré-natal de alto risco."""
0cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Quais são os principais componentes de tabaco fumado?|"""Define-se como tabaco fumado o tabaco consumido a partir da sua queima (gerando 'fumaça'). O principal representante deste grupo é o cigarro industrializado, que conta ainda com os cachimbos, charutos, cigarros de palha e narguilé."""
0cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Como a dependência de tabaco é classificada na CID-10?|"""A CID-10 apresenta os transtornos relacionados ao fumo dentro do Capítulo V (F00-F99) – Transtornos Mentais e Comportamentais, sendo classifi cados conforme exposto no Quadro 3."""
0cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|O que se entende por longitudinalidade na Atenção Básica?|"""A Longitudinalidade é definida pela existência de uma fonte continuada de atenção, assim como sua utilização ao longo do tempo."""
0cadernos_de_atencao_basica_no_40_estrategias_para_o_cuidado_da_pessoa_com_doenca_cronica_o_cuidado_da_pessoa_tabagistapdf.txt|Qual é o impacto social e econômico do tabagismo no Brasil?|"""O tabaco ainda gera um alto custo social e econômico para o País, somando custos diretos de assistência e indiretos por redução da produtividade com absenteísmo, aposentadoria por invalidez e morte prematura."""
